year,sentence
2006,"NICHOLSON--William Bryce. 93. On February 27, of Short Hills, NJ. Retired Vice Chairman of Union Carbide Corp. Survived by his wife, Marion; daughter, Jan; and daughter, Barbara McFadyen, and her two children, Rachel and Ryan, and grandchild, Nicholas. A memorial service will be held at 11 AM on Monday, March 13, at the Community Congregational Church, 200 Hartshorn Drive, Short Hills. Paid Notice: Deaths   NICHOLSON, WILLIAM BRYCE"
1986,"  Sheik Ahmed Zaki Yamani, OPEC's most influential voice and the mastermind of the oil embargo of 1973, has been dumped by Saudi Arabia's ruling family. It's not known whether the suave, Harvard-trained lawyer was canned for policy differences, or simply lost a power contest. But it's likely that the impact on world oil will be transitory. A change of oil ministers will not alter the forces that drive the market or the policy dilemmas they create for both producers and consumers. A Sheik Departs; the Noose Remains"
1985,"  As the next member of Congress scheduled to travel in space, Representative Bill Nelson has been getting requests that he take along as souvenirs such things as a deck of trick playing cards, baseball caps, postage stamps and, from one widow, her husband's ashes. The ashes and the cards will not go, the Congressman's office says.   First Mezuza in Space?"
1966, In Brief
1973,"S Vietnam and Vietcong exchange 163 civilian prisoners on Apr 28, deadline stipulated in truce accord for an exchange that is supposed to involve 1,387 prisoners; exchange takes place at Loc Ninh CIVILIAN PRISONERS FREED IN VIETNAM"
2008,The Dutch conductor Ton Koopman spent last week presiding over a choral workshop quite different from those the great choral conductor Robert Shaw used to lead.  Exploring Different Sides of One of Handel’s Styles
1992,"  To the Editor:   I must take issue with ""Chancellor Fernandez Stands Tall"" (editorial, Dec. 3), which praises Joseph A. Fernandez, New York City's Schools Chancellor, on his Children of the Rainbow curriculum. For more than a year, Mr. Fernandez, the Board of Education and a number of local school districts have focused in an adversarial manner on issues like condoms and homosexual rights, while ignoring long-standing problems that affect the vast majority of students daily. While Ideological Battles Rage, Our Schools Keep Crumbling"
1973,NY Philharmonic 'Neighborhood Concerts Orch' performance at Bklyn Coll revd by A Hughes; J DePriest conducts Music: Good Neighbor
1967, Visible Satellites
1964,"'63 revd; '64 outlook Chemicals Reach Record A gain, But Growth Rate Is Below '63's; Industry Sales Show 5.3% Gain in Year, Compared With 11 % in 1962 -Lag Laid to Lower Wholesale Prices"
2001,"Conversation with former San Francisco 49ers coach Bill Walsh, who expresses disdain for parity created by salary caps; says it removes possibility of dynasties and that quality of game was better before implementation of salary cap because competition was stable; says there are more average teams and no great ones in today's game; photo (M) Walsh Sees Dark Side Of Salary Cap's Impact"
1962, President's Action on Major Bills
1962, Ships That Departed Yesterday
1989,"LEAD: DOROTHE SINSKI did a series of plies and releves at the barre in Studio 2 at the Alvin Ailey American Dance Center. She did floor stretches, African-Caribbean dance steps and sang a Congolese work song. The Sightless Learn Dancing, and More"
1999,"IN Port Murray, Warren County, Cyrus Hyde hunches over a small potting table in one of his three greenhouses. The focus of his attention is a batch of seeds  that a friend sent him from Morocco. Delighted, he drops the seeds one by one into plastic containers of rich soil: parsley, coriander and black cumin. If it weren't for the radio blasting Dr. Laura's advice, the scene would seem to be lifted from a medieval painting: a master herbalist at work.   Herbs, Grown and Plucked for Flavor and Folklore"
1971,"FCC, in 1st test of US Appeals Ct ruling on equal-time issue, rejects, 3-1, CWA bid to force NBC and CBS to give it air time to discuss proposed pact settlement; says that, while ct declared flat ban on controversial ad unconst, it allowed FCC and broadcasters to decide which can be accepted or rejected; Comr Johnson dissents F.C.C. DENIES UNION AIR TIME FOR ADS"
1975,A second crucial element in the financial package for staving off a New York City default appeared jeopardized yesterday by a growing unwillingness of bankers to buy the $500&#8208;million In short&#8208;term notes the state is due to issue over the next two months on the city's behalf. BANKS RESISTING NEW STATE ISSUE OF NOTES FOR CITY
2000,"New York Power Authority postpones choosing buyer for its two nuclear plants, saying that it was unable to resolve assortment of tax and finance issues related to what would be largest sale of nuclear plants in United States history (M) New York Power Authority Postpones Decision on Sale of Two Nuclear Plants"
1970,AT&T trans-Atlantic cable temporarily knocked out of service; reason unknown Atlantic Phone Cable Knocked Out of Service
1989,"LEAD: Hospital administrators and labor leaders met privately with Governor Mario M. Cuomo last week to discuss New York's statewide hospital crisis, but many came away disappointed. Health Care Leaders Disappointed by Cuomo Talk"
1974,"In the Episcopal Cathedral pf St. Philip in Atlanta at noon yesterday, Lila Jenkins became the bride of Ernest Cruikshank 3d, an investment broker with White, Weld & Co., Inc., in Atlanta. Lila Jenkins Is Wed to a Broker"
1982,"  The Daily News said yesterday that it would begin cost-cutting measures if its pressmen, paperhandlers, mailers and drivers did not agree to contract concessions by next Friday.   It said those measures would include decreasing circulation in outlying areas and ceasing its earliest Sunday edition.  After meeting with News officials, the union leaders said they believed they could meet that deadline, but they did not commit themselves to agreeing to the newspaper's demand to cut 1,340 of its 5,000 positions. Union aides said six unions had already agreed to eliminate a total of 600 jobs at The News, which lost $12 million last year and says it will lose even more this year. DAILY NEWS WARNS UNIONS OF CUTS"
2017,Next Year’s World Cup will be the first with an anti-discrimination monitor at every match. A Times reporter spent an evening with one at a testy game in the Balkans to see how a tough job gets done. A Night in Belgrade With an Undercover Crowd Monitor: ‘Try to Act Casual’
2002,"Pomegranates are being used in variety of new beauty products, including exfoliating scrubs and fragrances; photo (Pulse column) (M) Rub On the Pomegranate"
2002,"Tally Last Week in Connecticut, New Jersey and New York.    Senate    1. Trade Bill: Vote on a bill that would give President Bush the authority to reach trade agreements that are largely immune from Congressional tinkering and would greatly increase aid to workers who lose their jobs because of foreign competition. Approved, 66 to 30, May 23. Votes in Congress"
2004,Attention to anyone who's still foolish enough to use Internet Explorer:  Yet Another Reason to Not Use Internet Explorer
1966,"gets hon degree, Fordham U FORDHAM HEARS VARIETY OF VIEWS; Former President Outlines Commencement Themes"
1994,"  International 3-7  CUBAN REFUGEES IN LIMBO    Although the Guantanamo refugee camp at the American naval base in Cuba has not experienced riots like the one in Panama, it is filled with refugees who are desperate to resume normal lives. 1 NEWS SUMMARY"
1962, Rhode Island Center Sold
1981,"  A private legal group sponsored by the American Bar Association has called for preventive detention of a person charged with a violent crime if, after a full hearing, it is found that the person is a danger to the community.   In a report made public today, members of the bar association's criminal justice section's study group on crime said that among the criteria to be used was whether the person had been convicted of a crime in the last 10 years or had committed a crime while out on bail, on probation or on parole.   The group also was critical of a proposal to spend $2 billion in Federal funds to build state prisons, contending that ''Federal monies should not be thrown exclusively into brick and mortar.'' PREVENTTIVE DETENTION URGED BY BAR GROUP TO CURB CRIME"
1990,"LEAD: Ben Johnson's former personal physician and another Toronto doctor accused of giving steroids to Canadian athletes were charged with professional misconduct yesterday in Toronto by the Ontario College of Physicians and Surgeons. Dr. George M. (Jamie) Astaphan, Johnson's doctor until the 1988 Seoul Olympics scandal, and Dr.   Astaphan Accused"
2014,"Ben Ratliff and Nate Chinen discuss the jazz composer and musician Vijay Iyer and his new classical album, “Mutations.” Popcast: Vijay Iyer, Jazz Weather Vane"
1984,"  A $100 million bond issue of the Port Authority of New York and New Jersey was tentatively priced at 100 with a coupon of 9 percent through underwriters led by Prudential-Bache Securities.    Although the bonds have a final maturity of 2014, they are offered with a lower interest rate than other 30-year bonds because of special features that help protect investors against the possibility of higher interest rates and lower bond prices in future years. Bonds Are Priced On Port Authority"
2007,"Writer David Rohde and photographer Tomas Munita report from rural Pakistan, where President Pervez Musharraf claims to be widely supported. Does It Play in Punjab?"
1986,"  A referendum Wednesday on whether Spain should quit the North Atlantic Treaty Organization has split the nation over the fundamental question of its national identity.   Spain joined the European Economic Community in January. According to intellectuals and political figures, with the vote on Wednesday Spaniards will decide whether to complete their integration into the West or remain slightly apart.   For almost four centuries, up through the dictatorship of Generalissimo Francisco Franco that ended 11 years ago, Spaniards have mainly been an isolationist people, avoiding developments such as the Reformation and two world wars. IN SPANISH VOTE, THE ISOLATIONIST URGE"
2008,Guest bloggers who cover the Rams break down the coming game for the Jets. 100 Words: Rams (2-6) at Jets (5-3)
1991,"  Secretary of Defense Dick Cheney stunned the Navy and its contractors by canceling the A-12 Avenger, a new carrier-based attack plane that was way behind schedule and way over cost. By calling a halt to business as usual at the Pentagon, he performed a distinguished public service.    Now it's up to Congress to make his courageous decision stick. For Secretary Cheney, a Hero's Medal"
2009,Peruvian and Colombian celebrations and an Indonesian bazaar in Queens. Vendy nominees on Governors Island. What’s Up This Weekend
1985,"  Jan. 31, 1982, ''Face the Nation.'' Responding to a question about how he had urged President Reagan to call for one type of tax increase and then had to go around the country selling another type. So to the extent that the President may have gone against the advice of his advisers on that one, look, I've been chief executive officer of a major company for years. You don't always take the advice of your subordinates. And by the way, that doesn't downgrade your subordinates either; they keep trying. You give the leader, the President, the options. And when he selects that option, then you get behind it because you are a team player. Regan: On Administration"
2000,"Church & Dwight Co, Princeton, NJ, maker of Arm & Hammer baking soda, agrees to combine its laundry detergent business with USA Detergents Inc, North Brunswick, NJ, to cut costs and improve its supply chain (S) TWO LAUNDRY DETERGENT BUSINESSES FORM PARTNERSHIP"
1983,"  A five-day conference of 101 third world nations and organizations ended here today with the issuing of declarations that ranged from Cuban- and Palestinian-backed denunciations of the United States to appeals for disarmament and economic cooperation.   In a 55-page draft of the declarations, the United States was chastised 11 times. All but two of those references were in sections dealing with Latin America and the Middle East, areas where the Cubans and the Palestine Liberation Organization concentrated extensive lobbying efforts. The documents listed the Soviet Union by name only once, in an appeal to it and the United States to hold talks on demilitarization of the Indian Ocean. DELHI PARLEY ENDS WITH U.S. ASSAILED"
1975,"Los Angeles Times, citing escalating costs, says it will increase daily newsstand prices to 15c (S) Los Angeles Times Up to 15c"
2003,"Correction: Dec 14 article about Ali Ahmad Jalali, Afghanistan's interior minister, misidentified US agency Corrections"
1966,"Mrs. Michael Perner of Brooklyn has announced the engagement of her daughter, Miss Rachelle Linda Perner, to Neil Paul Harwayne, son of Mr. and Mrs. Frank Harwayne.   Perner--Harwayne"
2000," BASEBALL    American League  CLEVELAND INDIANS--Placed RHP Charles Nagy on the 15-day disabled list, retroactive to Sept. 25.    BASKETBALL YESTERDAY"
1971,V Blue (Oakland) named winner of Cy Young Award Blue Wins American League's Cy Young Award
2015,"France has agreed to pay Russia compensation for refusing to deliver two helicopter carrier ships after sanctions were imposed on Russia over its annexation of Crimea. France Will Compensate Russia for Canceling Arms Deal, Kremlin Aide Says"
2006,Insurance Institute for Highway Safety study shows driver's risk of being killed by side-impact crash decreases by more than one-third if vehicle has side-curtain airbags; automakers have agreed to make safety devices standard equipment in all vehicles by 2010 (M) Study Concludes Side Air Bags Cut Risk of Fatality by a Third
2019,"New Yorkers are expected to tolerate quite a racket, but there are limits — and laws. Can My Upstairs Neighbor Really Make This Much Noise?"
1978,ed opposes NAACP proposal to banish S Africa from matches; cites naming of 'colored' player Peter Lamb to S African team Tennis Without Love
2006,"ABOUT a year ago, the New York State Legislature made a number of revisions to the Rockefeller drug laws. The most significant changes involved reducing sentences for nonviolent drug offenders, raising the amount of drugs required for top-level possession charges and allowing defendants serving a life term to apply for a reduced sentence. The primary goal was to grant low-level drug dealers relief from overly harsh sentences.      These measures were a step in the right direction, but unfortunately they fail to take into account drug kingpins. As the new legislative session begins this month, the priority should be to retain severe sentencing for major drug dealers while providing more alternatives to incarceration and more treatment options for low-level addicts and small-time dealers.   Reform the Reforms"
1976,"70 players from Monticello Softball Assn, NY, play record 54-hr, 365-inning game to raise funds for Community Gen Hosp, Monticello, NY, and for construction of new softball field; about $4,000 raised; game was scored by Amer Softball Assn (M) Benefit Softball Game, 54 Hours, Sets Record"
2006,Joe Sharkey On the Road column on some airline passenger complaints; drawing (M) The Complaint Department Is Open for Business
1983,"  FOR five years, the Exxon Corporation has been making it possible for the Guggenheim Museum to send people out into the field to tell us what goes on, both in this country and in other parts of the world. This year's findings are disclosed in an exhibition called ''New Perspectives in American Art: The 1983 Exxon National Exhibition,'' which has just opened at the museum. It was organized by Diane Waldman, deputy director of the Guggenheim, who traveled throughout the United States in hopes of coming back with something good.   Eleven artists were chosen. In view of the museum's track record in such matters, it is doubtless a change for the better that three of them are women. The space allocated to the artists is generous, and Exxon has provided funds to buy one work by each of them. They come from all over - Texas, California, New Mexico, South Dakota, New York - and most were born between 1947 and 1955. VISITORS FROM THE PAST"
2004,"Committee of Royal Dutch/Shell Group directors who are reviewing overstatement of oil and natural gas reserves is continuing to back company's management despite disclosures that senior executives knew of shortfalls in 2002; growing number of investors are saying that Shell may ultimately need to bring in outside executives to restore confidence; idea of hiring from outside would be radical for Shell, which has nearly always promoted from within to fill management spots in its 97-year history (Market Place column) (M) Confidence In Shell May Depend On New Blood"
2001,Wall Street is abuzz over former Wall Street Journal reporter Steve Lipin's plans to become communications specialist handling media coverage of mergers on behalf of corporate clients as partner at Brunswick (M) MediaTalk; Reporter to Cover Mergers from Other Side
2001,"IBM will supply computer services to NTL Inc, Britain's largest cable television company, under 10-year contract that could be worth more than $2 billion; IBM and Seiko Epson Corp agree to set up venture to make chips for mobile, Internet and wireless computing devices; venture will use IBM plant in Japan (S) Technology Briefing | Hardware: I.B.M. Gets Big Service Contract"
1965,"Sandpiper, The Atom Survival Study Scored as Unsound; ATOM WAR STUDY CALLED UNSOUND"
1966,The appointments of Edward J. Quinn and Harry J. Loester Jr. as senior vice presidents of the Franklin National Bank were announced over the weekend.   Franklin National Elects 2 Officers
2008,"Bear Stearns‘s shocking deal to sell itself to JPMorgan Chase for a mere $2 per share — less than one-tenth the firm’s market price on Friday — underscored how few options remained for Bear, which was driven to the brink of bankruptcy by what amounted to a run on the bank. The Bear Stearns Bailout"
1970,The Mastodons Sports Editor's Mailbox
1978,Portuguese Pres Ramalho Eanes leaves for 2 days of talks in Guinea-Bissau with Angolan Pres Neto; meeting is 1st official contact between both nations since Angola gained independence from Portugal in '75 (S) Portugliese and Angolan Leaders To Confer on Issue of Prisoners
1985,"  FEW college graduates think of   career paths in the junk business. Yet in almost every sizable town there is a junkyard that sends along old cars, bathtubs, metal parts and other waste material to a technially sophisticated and sometimes prosperous recycler.    Indeed, at a time when disposing of waste has reached crisis proportions in some areas, recycling has become a big business nationwide. Careers;   Courses Offered in Recycling"
1977,"MTA is installing several test kiosks, containing route and timetable information, at Manhattan and Queens bus stops; analysts George Carrano and Jonathan Fisher, who prepared kiosks, say rider response is favorable; installation of kiosks at all city bus stops could cost $150,000 initially and $80,000 annually thereafter; illus (M) Information ‘Kiosks’ Help Bus Riders Solve Puzzle"
1962,"R Laird keeps US 35-km champ ORIOLES TRIUMPH OVER TWINS, 8-6; Brandt and Gentile Connect  Roberts Gains Victory"
2017,"Aviation analysts predict an aircraft sales slowdown that could last years. Meanwhile, regulators consider a proposed takeover of a British satellite provider by 21st Century Fox. Paris Air Show Faces Head Winds, and Britain Looks at Fox’s Bid to Buy Sky"
1960,"Newmont Mining acquires 625,000 more shares Newmont Extends Holdings"
1993,"  SUDDENLY Phoenix is bursting with good restaurants. Even as recently as five years ago, for anyone interested in great food this humming desert oasis provoked little more than a yawn. A favorite of retired America, it was also the capital of white-bread America. There was Vincent Guerithault's and then . . . not much more.   Today, the chef's stylish Vincent's on Camelback, at 3930 East Camelback Road, is still at the summit of Phoenix restaurantdom, but the summit is no longer such a lonely place. Since they opened in 1990, Christopher's and Christopher's Bistro, just down Camelback at No. 2398, have quickly developed into two of this country's best dining rooms, with constantly evolving menus that reflect the quirky creativity of the chef Christopher Gross. The stunning wine list bespeaks the increasing expertise of his sommelier wife, Paola Gross. Phoenix Dining: Rising Expectations"
1968,Gaylords Natl Corp reptdly negotiates to buy Spartans-Atlantic stores Alexander's Plans Offering to Public; ALEXANDER'S SETS A PUBLIC OFFERING
1983,"  Brian Sipe hit Harry Holt with a 48-yard touchdown pass 1:53 into overtime to give Cleveland the victory. Holt, the tight end, caught the pass at the San Diego 20-yard line and broke two tackles.   The Browns (3-1) tied the game when Matt Bahr kicked a 32-yard field goal with 18 seconds remaining in regulation. Browns 30, Chargers 24"
1966, EXHIBITION BASEBALL
1964,Meeting 50 JUSTICES HEAR PLEA BY BRENNAN; Fuller State Court Role Urged in Enforcing Rights
1976,Michigan Natl Corp agrees to divest itself of interest in First Natl as part of proposed consent decree settlement of Justice Dept antitrust suit (S) Business Briefs
1983,*3*** COMPANY REPORTS ** BROWNING-FERRIS INDUSTRIES INC reports earnings for Qtr to Dec 31
1985,"  THE scene was fitting: the Columbia University campus, where some of the angriest   student protests of the 60's and 70's were waged. And if the fervor seemed fresh, the cause   had stirred colleges, legislatures and, occasionally, boardrooms, for years - what to do about South Africa. Columbia, which decided in 1978 to sell investments in companies ''which show indifference. . .to the prevailing repressive racial policies in South Africa,'' still has nearly $33 million worth of stock in 26 companies doing business there, and more than 100 students and a smattering of faculty and staff members barricaded themselves in front of Hamilton Hall to demand that the holdings be sold. The school got a court order forbidding the demonstration, but lawyers for the protesters persuaded another judge to prohibit the university from calling in the police. Meanwhile, seven students ended a hunger strike after Dr. Michael I. Sovern, the Columbia president, agreed to convey their concern to a panel of trustees studying the question. A long list of universities, including Harvard, Yale, Antioch and Michigan State, have either fully or selectively ''disinvested'' in companies linked with South Africa. So have many jurisdictions, among them Philadelphia, the District of Columbia, Boston, New York City and State, Connecticut, Nebraska, Maryland and Massachusetts. But others say disinvestment - especially blanket disinvestment - is at best an ineffective weapon against apartheid and at worst is counterproductive. Richard Levine of The Week in Review discussed the issue last week with Roy Schotland, a professor at the Georgetown University Law Center, and Randall Robinson, executive director of Transafrica, the group that has been organizing demonstrations in front of the South African Embassy in Washington.   DOES AMERICA HAVE A STAKE IN APARTHEID?"
1969,Rumanian Pres Ceausescu congratulates Husak Ceausescu Greets Husak
2009,Scoring 22 points in the Knicks' opener will not speed Danilo Gallinari's promotion into the starting lineup. Gallinari Will Wait for Knicks Promotion
1991,"  To the Editor:   In his essay ""Lower Skyline, Higher Aspirations""  [ Aug. 11 ] , Paul Goldberger praises the Riverside South plan that was recently unveiled for the Upper West Side of Manhattan. Artistically, this latest reincarnation for the former Penn Central yards shows great improvement over the previous versions. However, it still lacks a major component for environmental success because transportation has not been considered. Accessibility: The Missing Link?"
1986,"  The Nevado del Ruiz volcano trembled again today and blocks of ice drifted down rivers in the Armero Valley, prompting the Government to keep a state of ''maximum alert'' for fear of another disaster.   Thousands of people spent the night on higher ground, many of them using caves for shelter from a torrential rainfall. Tremors Still Coming From Colombia Volcano"
1985,"  There are certain evenings when all the complaints about the New York Philharmonic-and the hall they play in-seem to melt away.  Thursday night at Avery Fisher offered little in the way of adventure, but both pieces on the Philharmonic's program were intensely played, beautifully controlled and attuned to the peculiarities of the surrounding acoustical space.    At the center of all this furious activity was Klaus Tennstedt, who as one of the worlds most effective guest conductors, seems to carry with him on his travels a special brand of fierce care and careful thought. PHILHARMONIC: TENNSTEDT CONDUCTS"
1974,"article traces origin of sea law and attempts to codify freedom of high seas dating back more than 300 yrs; notes only in 20th century did nations see necessity for more comprehensive worldwide approach in view of problems of pollution, indus exploitation of seabed resources and mil machinery; says 1604 treatise of Dutch jurist Hugh Grotius concerning freedom of ocean for all nations has formed basis for declarations of freedom of high seas; notes late US Pres Harry S Truman's Doctrine extending natl control over resources on continental shelf beyond 3-mi limit and later barring foreign fishing from within 12-mi limit; says as result profuse body of internatl regulations and treaties have evolved in last few decades and that question of how to reconcile conflicting interest of many nations will be taken up at UN Conf of Law of the Sea; illus of Hugo Grotius (M) A Complete Law of the Sea Has Eluded Nations for 300 Years"
1985,"  The man who sells Picassos and Chagalls in a glittery part of this city said: Well, no, things are not going too badly in South Africa these days.   He said his clients, from the white suburb of Sandton, were mainly affluent people who were uncertain of their future in the vortex of unrest swirling in their nation, and so had little interest in fixed assets.   The value of their money, he said, seemed to wither by the day. And so, said the art dealer, Dennis Hotz, interest was growing in fine art as an investment. In his office, set back from his main gallery, a Chagall priced at $125,000 adorned a wall. EVEN A NIGHT ON THE TOWN SHOWS APARTHEID'S EFFECT"
2012,"Plant geneticists who sequenced the tomato’s genome in hope of breeding better specimens found that it has 31,760 genes — about 7,000 more than a person. More Genes Than Humans: The Tomato Decoded"
2012,Top stories from across India this week from the regional press. Newswallah: Bharat Edition
2005,"A RESTAURANT hawker masquerading as a customer out for a midmeal smoke called over to a couple heading next door to Rangole, the newest addition to West 46th Street's international kitchens.    ''I don't know about that place,'' the tout said. ''But the veal Parmesan here is the best I ever tasted.''   Flavor and Crunch, and Hot, Hot, Hot"
2010,Mayor Michael R. Bloomberg today signaled his commitment to New York City’s fashion industry with a multifaceted effort to uphold New York’s status as a fashion capital. Preserving New York as a Fashion Capital
2013,Two surveilance videos show the suspect firing shots at and chasing his inteded target. Surveilance Videos From the Shooting
2008,Thank you for Christopher Caldwell’s article (Jan. 27) and the fascinating statistics that accompany it. Who knew that in America today more people make their living by shuffling and dealing cards in casinos than by operating lathes? Who knew that there are almost three times as many security guards as machinists? Letters: Old-School Economics
1987,LEAD: Members of the United Food and Commercial Workers will begin returning to work at the IBP Inc. meatpacking plant on Aug. 3 after a seven-month walkout. Long Meatpacker Strike Ends
2003," UNILEVER, London, the maker of Dove soap and Lipton tea, completed the sale of its Iberia Foods division to Brooklyn Bottling Group, New York, a distributor of Caribbean and Latino foods. Terms were not disclosed.    MACK-CALI REALTY, Cranford, N.J., bought two office buildings with a total of 188,103 square feet of space in Blue Bell, Pa., for $34 million, expanding its holdings in suburban Philadelphia. COMPANY BRIEFS"
2013,"They are called “artsitters” — ballerinas and Shakespearean actors, sculptors and opera singers — who look after other people’s children very creatively. Where Babysitting Is Truly an Art"
2011,"In developed countries, high prices have started to damp demand, which could push prices down again. BP Profit Falls as Costs of Gulf of Mexico Spill Outweigh Higher Oil Prices"
1986,"  The Chicago Bulls have traded Kyle Macy, a veteran guard, to the Indiana Pacers for second-round draft choices in 1988 and either 1990 or 1992. ''With the Bulls backcourt of Michael Jordan, newly acquired Steve Colter and John Paxson, we felt we could afford to let Kyle go for future draft picks,'' said the team's vice president, Jerry Krause. . . . Akron's new football coach, Gerry Faust, learned yesterday that he had suffered a fractured left leg last Monday when he was knocked down accidentally during kickoff drills by Darryl Robinson, a linebacker, just five minutes after the former Notre Dame coach had reprimanded Robinson for failing to attend classes. . . . Jay Brophy returned to the Miami Dolphins just two and a half weeks after being let go. The Dolphins were forced to recall the linebacker because of the sudden retirement of another linebacker, Jack Squirek. . . . Mitchell Green, the heavyweight boxer, was arrested in the Bronx and charged with drunken driving early yesterday morning after his 1980 Lincoln struck another vehicle, the police said. Comings and Goings"
1985,*3*** COMPANY REPORTS ** PARKER PEN CO reports earnings for Qtr to Feb 28
1963, Article 4 -- No Title
1994,"  Tony Cragg   Marian Goodman Gallery  24 West 57th Street  Manhattan  Through Feb. 19    This is the English sculptor Tony Cragg's best New York show in some time. In the past, he has seemed like an ambitious artist with an apparently limitless supply of ideas, but not enough good ones. In fact, the chief interest in his exhibitions often lies in the sheer variety of materials and forms: a half-dozen of his large sculptures seen together look like the products of as many different hands. Unfortunately, the biomorphic mode he has often favored in recent years has yielded few rewards. It seems at once leaden and precious, especially when infused with heavy-handed ecological subtexts. Art in Review"
1980, Arts and Leisure Guide; Of Special Interest Debut Holdings The 50's Theater Recent Openings Annie Get Your Gun Home Mass Appeal Theater Opening This Week Broadway Now Previewing Off Broadway Off Off Broadway Tristate Dance Film Opening This Week Recent Openings Special Series Music Opera Today Monday Tuesday Wednesday Thursday Friday Saturday Jazz In Concert In the Clubs Arts and Leisure Guide Pop/Folk/Rock In Concert In the Clubs Art Galleries Uptown Group Shows Galleries 57th St. Group Shows Galleries SoHo Group Shows Other Museums Photography Group Shows Miscellany
2005,"Bob Herbert Op-Ed column says Bush administration has punished Justice Dept official Lawrence A Greenfeld for daring to tell even mild truth about racial profiling by law enforcement officers in United States; recalls two stories from several years ago that dramatically illustrate differences in ways that white and black drivers can be treated; says Greenfeld failed to understand that preferred method of dealing with uncomfortable facts in fantasyland of Bush administration is to igore them, or simply wish them away (M) Truth-Telling on Race? Not in Bush's Fantasyland"
1968,"New Image of Sound concert series, NYC, plays works by H Partch, J Cage and E Varese written for 3 short films shown simultaneously Music: Focus on Movies; New Works Matched to 3 Films at Hunter"
1995,"  Bjorn Anderson, a hotel tennis director, spent today maneuvering his mini-van through roads partly blocked by fallen utility poles and tilted 40-foot yachts to take groups of tourists to the airport and away from the ruins Hurricane Marilyn left on St. Thomas.   On a hillside once covered with thick foliage, he found new ocean views between bare trees. He pointed out mounds of debris where $300,000 homes used to be. An Island Paradise Lost As Storm Leaves Ruins"
2009,"It looks like Crown Acquisitions, the stalking horse bidder to whom Filene's Basement agreed to sell the bulk of its stores, may have some competition in its bid for the luxury discount retailer. Rivals Enter Bidding for Filene's, Report Says"
1971,"Faust: (By Gounod) Met Opera free performance, Prospect Pk, Bklyn; illus; D Henahan rev Fiery ‘Faust’ Sweeps Prospect Park Into Summer"
1970,"Former Comr Cox, in sec of A I du Pont-Columbia U Journalism School survey, implies attacks on FCC come from exec branch of Govt as well as from pub; survey poses several questions for broadcasters Survey Praises and Criticizes Broadcast Journalism"
2012,A summary of what’s on today’s editorial page. Opinion Report: The State of the Union
1996,Brunei Investment agency's Brunei Investment & Commercial Bank buys 13.4 percent of Macquarie Bank Ltd for equivalent of $123 million from Lloyds TSB Group's Hill Samuel unit (S) Brunei Bank Buys 13% of Australian Bank
2006,"Jerry Seinfeld has finally sold his bachelor pad. The unit had been listed for $2.35 million, but it sold for more than the asking price. Seinfeld Sells a Former Domain"
2008,"To the Editor: Congratulations to David G. Allan for his article “Ian Fleming’s Jamaica” (Nov. 9). My all-too-few sojourns to Jamaica have taken me down many of the roads traveled by Fleming and 007. Mr. Allan did an admirable job tracing many of those footsteps, making me want to return. Letters: Two Views of Jamaica"
1962,"The dismaying picture of abuses in the American Stock Exchange painted in the Securities and Exchange Commission report raises serious questions of great concern to the more than 10,000,000 Americans who own shares in our corporate enterprises. This is clear if we ponder the heart of the S.E.C. indictment:   Abuses in the Stock Markets"
2015,Learn everything you need to know about how to plan a trip to Cuba with coverage from the New York Times Travel section. An (Evolving) Travel Guide to Cuba
2000,Phillip G Nichols letter on George Vecsey's Jan 21 artic A Better D.H. Idea
2001,"Ira Berkow, in Sports of The Times column, profiles New York Met Joe McEwing, who has been Mets' best-hitting regular this season; photo (M) Sports of The Times; McEwing's Sideshow Is Getting Noticed"
1975,"County Exec John V N Klein, in State of the County Message, orders county agencies to pare $7.5‐million from fiscal '75 budget; says county should not be saddled with cost of state‐ and federally‐mandated programs Nassau and Suffolk Review Priorities"
1999,"Richard Sandomir comments on entertaining team of television basketball analysts Bill Walton, Steve Jones and Tom Hammond (M) Walton And Pals Will Be Missed"
1987,"LEAD:         *3*** COMPANY REPORTS **    *3*NATIONAL CONVENIENCE STORES INC (NYSE)       Qtr to June 30   1987   1986                     Sales   233,805,000   204,096,000              Net loss   1,445,000   b1,174,000              Share earns   -   .05              Yr sales   828,400,000   949,874,000              Net loss   5,445,000   b3,582,000              Share earns   -   .15             NATIONAL CONVENIENCE STORES INC reports earnings for Qtr to June 30"
1962, THANT BIDS U.N. ADD TO AID FOR CHILDREN
2005,Ben Brantley reviews Harvey Fierstein's performance in Broadway revival of Fiddler on the Roof; photo (M) An Exotic Tevye in Old Anatevka
1994,*3*** COMPANY REPORTS ** Oneok Inc.  reports earnings for Qtr to Nov 30
1992,"  Bob Watson's plan is so bold it sounds like a Presidential candidate's program to erase the national debt.   Watson, the Houston Astros' assistant general manager, has seen baseball decline in popularity among minority groups, especially inner-city children, and believes some radical program has to be implemented to reverse the trend. A Candidate Proposes Radical Sacrifice Play"
2014,"The when and what kind of tests depend on the state, but make sure your children take the tutorial about using the computer. Preparing Your Child for Common Core Tests"
2003,The United States mounted a public relations offensive today in anticipation of some of the biggest expressions of anti-Americanism here in years. U.S. Tries to Counter Anti-American Protests Due in Korea
